metric,mean__chm,mean__veg_height_mean,mean__veg_height_median,mean__crr,mean__veg_height_q10,mean__veg_height_q20,mean__veg_height_q30,mean__veg_height_q40,mean__veg_height_q50,mean__veg_height_q60,mean__veg_height_q70,mean__veg_height_q80,mean__veg_height_q90,mean__veg_height_sd,mean__veg_height_cv,mean__veg_height_skew,mean__veg_height_kurt,mean__veg_height_gini,mean__canopy_cover_gt1m,mean__canopy_cover_gt1m_w,mean__fhd,mean__fhd_w,mean__vci,mean__vci_w,mean__shann_capture,mean__shann_capture_w,mean__norm_shann_capture,mean__norm_shann_capture_w,max__chm,sd__chm,sd__veg_height_mean,sd__veg_height_median,sd__crr,sd__veg_height_q10,sd__veg_height_q20,sd__veg_height_q30,sd__veg_height_q40,sd__veg_height_q50,sd__veg_height_q60,sd__veg_height_q70,sd__veg_height_q80,sd__veg_height_q90,sd__veg_height_sd,sd__veg_height_cv,sd__veg_height_skew,sd__veg_height_kurt,sd__veg_height_gini,sd__canopy_cover_gt1m,sd__canopy_cover_gt1m_w,sd__fhd,sd__fhd_w,sd__vci,sd__vci_w,sd__shann_capture,sd__shann_capture_w,sd__norm_shann_capture,sd__norm_shann_capture_w,cv__chm,cv__veg_height_mean,cv__veg_height_median,cv__veg_height_q10,cv__veg_height_q20,cv__veg_height_q30,cv__veg_height_q40,cv__veg_height_q50,cv__veg_height_q60,cv__veg_height_q70,cv__veg_height_q80,cv__veg_height_q90,cv__veg_height_sd
mean__chm,1.0,0.9707204496776191,0.958491472768388,0.2540420642231091,0.6773574201077167,0.7851134285452261,0.8680151848114145,0.9251583502046417,0.958491472768388,0.9767338881966768,0.9874640160706807,0.9941884734736257,0.9982538053829518,0.964153328155433,0.07383916673283163,-0.3073640467924172,0.24130436337206723,-0.008750514585747047,0.6070442047657275,0.585883573512746,0.7412805139498765,0.7350283649798953,0.07608193808086815,0.07157512325773228,0.7300191216487003,0.7153032846755245,0.06667601853244952,0.08448044816068515,0.8872537384361604,0.737039768254028,0.865811339167007,0.8904710529471952,0.2576718041452047,0.8746950785763298,0.8960157699302401,0.9096737297295395,0.9080489508299812,0.8904710529471952,0.8663564689990734,0.8391658738163863,0.8110872189626365,0.7796238147197546,0.8117724905996541,0.16822727814967084,0.5437677781662538,0.5697227666119341,0.16848152615185563,-0.5314975585679078,-0.5203090353000164,0.17584917498492728,0.18025791466051144,-0.4857572260314654,-0.5162083957512714,0.14323841063068737,0.14275174066314625,-0.4829657394192853,-0.49841805217285706,-0.24347958805728825,-0.1792023617069434,-0.08060352528419328,0.09813182612116031,0.05346196917147606,0.010536223921135908,-0.03536601864451369,-0.08060352528419328,-0.11913197803923498,-0.15016933509243244,-0.17633050050575086,-0.20267680209090608,-0.14791634918212118
mean__veg_height_mean,0.9707204496776191,1.0,0.9968226796247688,0.45462630213650906,0.8118762125898396,0.9027396439132668,0.9591014037803754,0.9877002148646551,0.9968226796247688,0.9960799025682598,0.9918508286724323,0.986570988226173,0.9801094229371847,0.8866648483400379,-0.12756474866378223,-0.5039193210094645,0.35069225527283454,-0.20921573501807916,0.652901129285182,0.637441439423001,0.771543814706746,0.7630734262186631,0.16335959500865257,0.15412219612575304,0.7748878825181938,0.7647841339092791,0.1726177232706025,0.19191256466283835,0.8243040270401237,0.622865612064827,0.7795055762333519,0.785252919762469,0.13102721603986095,0.9077842824152219,0.8747647108908427,0.8477882047688733,0.818849095481701,0.785252919762469,0.7527803997475909,0.7217427765438846,0.6926298717984737,0.661917832380637,0.6970170020426346,0.03343975051291734,0.4744020204702671,0.5585956130134704,0.05911230163878025,-0.5727805132971299,-0.5600340956223844,0.11614683335757742,0.11569838334747914,-0.5049687158698005,-0.5368415699794034,0.12118339806157684,0.13205552268164306,-0.4748793918084257,-0.48158242042173194,-0.3542783489083745,-0.3156790446945977,-0.24612188355523992,-0.0504037340277039,-0.10849623037356539,-0.1593351337853638,-0.20645101078265904,-0.24612188355523992,-0.275189274996607,-0.29596119747649896,-0.312257681199452,-0.3280097700909605,-0.22878634431936484
mean__veg_height_median,0.958491472768388,0.9968226796247688,1.0,0.47311164893264673,0.8027289378917754,0.902325929601992,0.9639232529016142,0.9929599613884064,1.0,0.9961775349500362,0.9886951648872724,0.9803875331341585,0.9711380302772649,0.8780280258072627,-0.138231967916162,-0.5337052955603796,0.3476818217770307,-0.21770214599094123,0.635115176301371,0.62107122910102,0.7619131212648466,0.7534411514049457,0.17142926723282045,0.16198791612347377,0.7631589580999271,0.7533998092815382,0.17736909883900323,0.1960254417869853,0.7987516918305916,0.5877208439650531,0.7553193038938645,0.7626937927545988,0.1254568808007208,0.9079639060963918,0.8754110510736691,0.8410221897133195,0.8033335357762326,0.7626937927545988,0.7253693517977507,0.6911416533832511,0.6599564737913528,0.6277144997656833,0.6653540924221012,0.027548509332075893,0.4591848865247803,0.544227209940719,0.06300154305929041,-0.5577727848318126,-0.543337914809453,0.11417659399804257,0.11091290580159947,-0.4915903539767266,-0.524855810360458,0.1265720284231524,0.139538680674622,-0.45723507454584844,-0.462357927331856,-0.3747825235522631,-0.33625383424946614,-0.2720611265374815,-0.04910563782382098,-0.11820505372501183,-0.17733507347910152,-0.2297841344246956,-0.2720611265374815,-0.30144197785056676,-0.3213913385657575,-0.33648318991808424,-0.3508842593191489,-0.2531318286464602
mean__crr,0.2540420642231091,0.45462630213650906,0.47311164893264673,1.0,0.7807358326032523,0.7268087186862313,0.6423790514866111,0.5516932568496202,0.47311164893264673,0.411122853572823,0.36235696378128096,0.3238658051525842,0.2904697145841792,0.04735998352180683,-0.8688884580152147,-0.9321629517754852,0.5333037277336183,-0.91528410655796,0.5482462602580755,0.5627119721427378,0.43920450560176494,0.42677216291994247,0.4485495867954972,0.4234907908519163,0.4969447815379518,0.5109937965407577,0.5302468994014953,0.543494754261967,0.06611135763284176,-0.16029228899929013,-0.01438881068267245,-0.07392118327654328,-0.4235566137588316,0.41454745622639827,0.2102190477025835,0.07330132225652208,-0.016577536037053784,-0.07392118327654328,-0.10872135736123302,-0.13058944928906463,-0.1441006688576751,-0.15401681004453255,-0.13398331379564907,-0.5203650233625321,-0.04453551538685711,0.17714774911636635,-0.42602195749589616,-0.4346396799388273,-0.410402147825713,-0.25344105662588495,-0.2614530103769011,-0.33625830788472466,-0.3430728281848846,-0.1145726211776316,-0.06204380211280157,-0.21677718563428663,-0.17901592652972995,-0.6303576680033935,-0.7022253520002604,-0.7661323124333325,-0.6188487587038863,-0.687429413317982,-0.738003038960868,-0.7657985446821448,-0.7661323124333325,-0.7489283228874778,-0.7244609254552544,-0.6990556218017803,-0.6701650533344885,-0.45355732726256337
mean__veg_height_q10,0.6773574201077167,0.8118762125898396,0.8027289378917754,0.7807358326032523,1.0,0.9730095221655513,0.9135824631022517,0.853319753934496,0.8027289378917752,0.7639160501521928,0.7353515688957333,0.7141779766778559,0.6960348935159889,0.46522816659306054,-0.5871237318057129,-0.7533265231915949,0.6026172871723048,-0.6600648923637882,0.6697952571519744,0.666854356967512,0.6745721615090534,0.6617666664437862,0.3070789065897384,0.28775500687207073,0.7271504330337762,0.7302557572690138,0.38132985481659054,0.4018940399281215,0.5474527668354316,0.32437931505957984,0.45525203957890714,0.39766528268755696,-0.2061067158707139,0.7441294626729267,0.570461791803254,0.47982348746411474,0.42993972446860573,0.39766528268755696,0.3762251411466678,0.3604425518573833,0.3484153424281652,0.33704061479024194,0.35636821990246353,-0.2954306960946807,0.26031635814151755,0.4782563671339114,-0.2611099649083446,-0.5773802510671247,-0.57132796359976,-0.050058185046438594,-0.051908964402808545,-0.4663034021995207,-0.4879923688576103,0.02465553317836869,0.0537458521576653,-0.388156083214049,-0.37653871158323904,-0.4396042625637736,-0.48005448255659655,-0.48565753294861247,-0.43921175256488304,-0.46061974922900095,-0.47493511091507495,-0.4853000821177117,-0.48565753294861247,-0.47828106045216534,-0.46828864461613084,-0.4584322326901729,-0.4477743452924821,-0.24581564037174797
mean__veg_height_q20,0.7851134285452261,0.9027396439132668,0.902325929601992,0.7268087186862313,0.9730095221655513,1.0,0.980957924105717,0.9426181383353667,0.9023259296019922,0.8680903675840705,0.8417358082147608,0.8216778249437587,0.803951087583921,0.605457478513145,-0.46982290472358185,-0.7540734679306729,0.5766533162266708,-0.5492122773424769,0.6578544927655887,0.6517055341449568,0.7263948037089636,0.713887788017702,0.2815700771005541,0.2638063342553649,0.7609233736560795,0.7590944847454569,0.33141661767450026,0.3505944645187332,0.6387603631909564,0.4078901222695739,0.5620204822989017,0.5143591500483516,-0.10021495154941237,0.850218440908607,0.7100330776839066,0.6191048741124774,0.5577268505083264,0.5143591500483516,0.4844078751429126,0.4620868249704172,0.4443144129865814,0.4272459289318132,0.45337727087669855,-0.18128220742739323,0.33342310693449795,0.5304763459323647,-0.13939976992979097,-0.560057627083789,-0.549034408088447,0.032099810121077856,0.02666981762059538,-0.46209486938732747,-0.4911742926354609,0.09766374026208315,0.12376638020034411,-0.3907179309115497,-0.3836699745521378,-0.4378230663072839,-0.45429838148291446,-0.4490673414630035,-0.3071893476315851,-0.36210278878957575,-0.40436494980035753,-0.43457145111844486,-0.4490673414630035,-0.45146161149094693,-0.4483946682994813,-0.4440620749107014,-0.438856171261244,-0.26214170073362414
mean__veg_height_q30,0.8680151848114145,0.9591014037803754,0.9639232529016142,0.6423790514866111,0.9135824631022517,0.980957924105717,1.0,0.9881589949844602,0.9639232529016142,0.9389184654140597,0.9179292128295387,0.9010864176651088,0.8855574060946102,0.7282574540210655,-0.3384388524455574,-0.6984043361589088,0.5088877023902847,-0.42132520445434063,0.6399969351211101,0.6306431093540642,0.7453231568056878,0.7339685392633012,0.23467811064610053,0.21969631816854526,0.764328933312876,0.7585802559722046,0.26400077219668777,0.2825361512536322,0.7115092542260772,0.48492433967223225,0.6518234458916777,0.6225386503713289,0.002046910515173598,0.9039834807667393,0.8077006167824009,0.7315202825611785,0.670623436563703,0.6225386503713289,0.5867528901500203,0.5585969685661136,0.5351188824407885,0.5119865163772025,0.5442431249561408,-0.07812265164328779,0.3972158763931291,0.5548086889435829,-0.03488282174255292,-0.5452605209274148,-0.5313467752792513,0.08692961049282913,0.08038338536764972,-0.4628461795699042,-0.495920784200875,0.1352095411196477,0.1564045998756448,-0.4037726889026006,-0.40179714227909075,-0.4177435593532309,-0.41051144165972847,-0.387247443915937,-0.1819489147101998,-0.2550577645446328,-0.31433169694960394,-0.3594181544887044,-0.387247443915937,-0.4004808202187717,-0.4058398786376637,-0.4083962740352256,-0.4101040558874011,-0.26293393853188646
mean__veg_height_q40,0.9251583502046417,0.9877002148646551,0.9929599613884064,0.5516932568496202,0.853319753934496,0.9426181383353667,0.9881589949844602,1.0,0.9929599613884064,0.9791694650738195,0.9651635320307431,0.9526713076159988,0.9403325283939901,0.8197467845283338,-0.22476018420480887,-0.6145754516848261,0.4242209419587149,-0.3069430371361071,0.634217136193893,0.6222560059520715,0.7554793559295186,0.7456342133228163,0.19676406648522177,0.1847856192604327,0.7637036507251549,0.7554976508571951,0.21190318727445412,0.23045231057737256,0.7642616130553707,0.5456336625030305,0.715749188712216,0.7068696431402961,0.0776698497697141,0.9159221791972701,0.8569327080269702,0.8027918168805954,0.7526370814050223,0.7068696431402961,0.6690790900749093,0.636888074090444,0.6087139701628798,0.5801675435315525,0.6160490423031026,-0.01180051706713191,0.4382980389271369,0.5551655496810288,0.028663605989718205,-0.5478487391332142,-0.5330852570107488,0.10926281020462988,0.10382821662769261,-0.4754553072079769,-0.509444618210821,0.13869047983894947,0.15542354525923832,-0.42943661973350533,-0.4314921422004917,-0.3951556616722665,-0.36947224614240187,-0.3245481914616903,-0.10009119692104991,-0.17434509811389745,-0.2363904083150695,-0.2875999881791574,-0.3245481914616903,-0.347084860036721,-0.3605340191323291,-0.3699446698014879,-0.3786329425901066,-0.2592090169253673
mean__veg_height_q50,0.958491472768388,0.9968226796247688,1.0,0.47311164893264673,0.8027289378917752,0.9023259296019922,0.9639232529016142,0.9929599613884064,1.0,0.9961775349500362,0.9886951648872724,0.9803875331341585,0.9711380302772649,0.8780280258072627,-0.138231967916162,-0.5337052955603796,0.3476818217770307,-0.21770214599094123,0.635115176301371,0.62107122910102,0.7619131212648466,0.7534411514049457,0.17142926723282045,0.16198791612347377,0.7631589580999271,0.7533998092815382,0.17736909883900323,0.1960254417869853,0.7987516918305916,0.5877208439650531,0.7553193038938645,0.7626937927545988,0.1254568808007208,0.9079639060963918,0.8754110510736691,0.8410221897133195,0.8033335357762326,0.7626937927545988,0.7253693517977507,0.6911416533832511,0.6599564737913528,0.6277144997656833,0.6653540924221012,0.027548509332075893,0.4591848865247803,0.544227209940719,0.06300154305929041,-0.5577727848318126,-0.543337914809453,0.11417659399804257,0.11091290580159947,-0.4915903539767266,-0.524855810360458,0.1265720284231524,0.139538680674622,-0.45723507454584844,-0.462357927331856,-0.3747825235522631,-0.33625383424946614,-0.2720611265374815,-0.04910563782382098,-0.11820505372501183,-0.17733507347910152,-0.2297841344246956,-0.2720611265374815,-0.30144197785056676,-0.3213913385657575,-0.33648318991808424,-0.3508842593191489,-0.2531318286464602
mean__veg_height_q60,0.9767338881966768,0.9960799025682598,0.9961775349500362,0.411122853572823,0.7639160501521928,0.8680903675840705,0.9389184654140597,0.9791694650738195,0.9961775349500362,1.0,0.9978939318722192,0.9932655997982738,0.9868274301161949,0.9129313962785288,-0.07583634136762063,-0.46730356176768967,0.2916250069956727,-0.15290738811517163,0.6362932339737256,0.620628190368819,0.7644262649168195,0.7570149756395496,0.15230001598156317,0.14477722427053524,0.7613461742348533,0.7505381399637425,0.15261362196528555,0.17138315823920075,0.8229518533387553,0.6202026535221018,0.7819177590881312,0.7995622715663164,0.15655931796011016,0.8956617899291369,0.880994976986178,0.861662446222385,0.834626573882267,0.7995622715663164,0.764166799318514,0.7297094228780298,0.6972850202385343,0.6632464077746096,0.7010492520312483,0.05436563846764289,0.4705176858706128,0.5335283471552642,0.08377805280683828,-0.565391874474336,-0.5518045678220713,0.11628865935958421,0.11537102692676744,-0.503151962437299,-0.535237464044023,0.11474223833562154,0.12440823026757843,-0.478344666516928,-0.48599200365515566,-0.3534530217301827,-0.30678805377147617,-0.22871187519616584,-0.014514202136652112,-0.07750339883012557,-0.13251194903023236,-0.18399511645407127,-0.22871187519616584,-0.26234602214584396,-0.28672487652462714,-0.305837279294658,-0.3242540482663892,-0.24185185060855682
