,site_type_a,site_type_b,method name,test statistic name,sample size,number of groups,test statistic,p-value,number of permutations,p_val_group,p-val-fdr_bh,p-val-fdr_bg_group
0,EPO,EPY,PERMANOVA,pseudo-F,12,2,2.6488308392592144,0.0497,9999,significant (p < 0.05),0.05885526315789474,not significant (p >= 0.5)
1,EPO,NRM,PERMANOVA,pseudo-F,12,2,6.871281352026719,0.0019,9999,very significant (p < 0.01),0.009000000000000001,very significant (p < 0.01)
2,EPO,NRO,PERMANOVA,pseudo-F,12,2,2.9489402257880855,0.0533,9999,not significant (p >= 0.5),0.0615,not significant (p >= 0.5)
3,EPO,NRY,PERMANOVA,pseudo-F,12,2,7.200584912113512,0.0034,9999,very significant (p < 0.01),0.009613636363636364,very significant (p < 0.01)
4,EPO,PPO,PERMANOVA,pseudo-F,12,2,4.121017017912199,0.0122,9999,significant (p < 0.05),0.01663636363636364,significant (p < 0.05)
5,EPO,PPY,PERMANOVA,pseudo-F,12,2,4.342937001113915,0.0023,9999,very significant (p < 0.01),0.009000000000000001,very significant (p < 0.01)
6,EPO,ULM,PERMANOVA,pseudo-F,12,2,7.653591803541799,0.0078,9999,very significant (p < 0.01),0.014039999999999999,significant (p < 0.05)
7,EPO,ULO,PERMANOVA,pseudo-F,11,2,3.178990846587456,0.0196,9999,significant (p < 0.05),0.025941176470588235,significant (p < 0.05)
8,EPO,ULY,PERMANOVA,pseudo-F,10,2,10.773882730444026,0.0043,9999,very significant (p < 0.01),0.009613636363636364,very significant (p < 0.01)
9,EPY,NRM,PERMANOVA,pseudo-F,12,2,4.5677976087724215,0.0089,9999,very significant (p < 0.01),0.014100000000000001,significant (p < 0.05)
10,EPY,NRO,PERMANOVA,pseudo-F,12,2,4.554783458242536,0.0039,9999,very significant (p < 0.01),0.009613636363636364,very significant (p < 0.01)
11,EPY,NRY,PERMANOVA,pseudo-F,12,2,1.8119951079796928,0.1557,9999,not significant (p >= 0.5),0.16682142857142856,not significant (p >= 0.5)
12,EPY,PPO,PERMANOVA,pseudo-F,12,2,1.4962590164908551,0.2194,9999,not significant (p >= 0.5),0.2296046511627907,not significant (p >= 0.5)
13,EPY,PPY,PERMANOVA,pseudo-F,12,2,0.41882125595680747,0.7184,9999,not significant (p >= 0.5),0.7184,not significant (p >= 0.5)
14,EPY,ULM,PERMANOVA,pseudo-F,12,2,7.776861873575723,0.0023,9999,very significant (p < 0.01),0.009000000000000001,very significant (p < 0.01)
15,EPY,ULO,PERMANOVA,pseudo-F,11,2,3.3244635195593206,0.0209,9999,significant (p < 0.05),0.02687142857142857,significant (p < 0.05)
16,EPY,ULY,PERMANOVA,pseudo-F,10,2,7.096586309045896,0.0114,9999,significant (p < 0.05),0.01603125,significant (p < 0.05)
17,NRM,NRO,PERMANOVA,pseudo-F,12,2,3.2151275381527586,0.0376,9999,significant (p < 0.05),0.04572972972972973,significant (p < 0.05)
18,NRM,NRY,PERMANOVA,pseudo-F,12,2,10.883204889076863,0.0026,9999,very significant (p < 0.01),0.009000000000000001,very significant (p < 0.01)
19,NRM,PPO,PERMANOVA,pseudo-F,12,2,5.062538714096262,0.0019,9999,very significant (p < 0.01),0.009000000000000001,very significant (p < 0.01)
20,NRM,PPY,PERMANOVA,pseudo-F,12,2,4.966278262738841,0.0082,9999,very significant (p < 0.01),0.014100000000000001,significant (p < 0.05)
21,NRM,ULM,PERMANOVA,pseudo-F,12,2,21.499642739552673,0.0023,9999,very significant (p < 0.01),0.009000000000000001,very significant (p < 0.01)
