metric,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9
mean__chm,0.18993658236218083,0.005639108865916468,-0.017170552395647336,-0.061580534680401575,-0.036829320384750966,-0.06951244029129351,-0.04072733662201593,-0.04166642584984197,0.030913927450146293,0.0012271156982709803
mean__veg_height_mean,0.18856843176520643,-0.029885074727097987,0.027618506341148617,-0.0036627252881063915,-0.042423447642183726,-0.0585821884332205,-0.08246626568047077,-0.06661179127900393,0.06921078659407034,-0.028710374512380715
mean__veg_height_median,0.18626247681043406,-0.03372703456614008,0.04193518011989944,-0.014344061811880193,-0.047595192155747534,-0.05279842659512113,-0.10219683959308867,-0.0802149248383833,0.10470747027136529,-0.02973076268333228
mean__crr,0.07256544799525265,-0.15519413845245478,0.15880693505794385,0.20310069825862018,0.017146490356462568,0.0989647573008641,0.036819877542710655,-0.005843917412082622,0.05900940380676058,-0.17911519840174858
mean__veg_height_q10,0.1441127994979274,-0.09573317567481276,0.08456445118196076,0.21443803155488084,-0.027279156374969776,-0.051009794453277024,-0.04909267435840359,-0.029967715701180758,-0.04191418657531987,-0.08467664694996536
mean__veg_height_q20,0.16250958346411248,-0.07990521114043815,0.09683068215821,0.1461347630666509,-0.0407267538856346,-0.05204348410547238,-0.09668058165606652,-0.030324167319896775,0.024518904218083976,-0.03683047207690507
mean__veg_height_q30,0.1750286968064854,-0.06113844711756278,0.09095027170711473,0.0784149420074714,-0.049213213294803326,-0.050088269411452724,-0.11094392740390313,-0.04583017613583802,0.07744886767321155,-0.02349529845835873
mean__veg_height_q40,0.18257619976448639,-0.04534657338347817,0.06866200854961542,0.023851222972891578,-0.05006689891504623,-0.05110453109465475,-0.10806066669223274,-0.0667519601250866,0.10098748074021072,-0.024899496373633055
mean__veg_height_q50,0.18626247681043406,-0.03372703456614003,0.04193518011989952,-0.014344061811880304,-0.04759519215574742,-0.05279842659512124,-0.10219683959308878,-0.080214924838383,0.10470747027136518,-0.029730762683332385
mean__veg_height_q60,0.18792835860238696,-0.024824957507744508,0.018683397101115846,-0.03773533339094845,-0.043483399227803476,-0.05520982420810877,-0.09505156240690149,-0.0851323557696762,0.09763545726285586,-0.030916670465660545
mean__veg_height_q70,0.18888945510459246,-0.016689201527494903,0.0028850932807300677,-0.05045132112245409,-0.040119181213680064,-0.0577490833025853,-0.08458384908684657,-0.08160869265645668,0.08533010690279069,-0.027835496504182062
mean__veg_height_q80,0.18953167206448698,-0.009245392792328971,-0.006651872779921259,-0.05668588642622685,-0.038003929153557145,-0.06069448998217876,-0.07209487070081616,-0.07257638154921187,0.07049736679690712,-0.021325286743552642
mean__veg_height_q90,0.18986242712099882,-0.002224649597074296,-0.01220196360024373,-0.06046331072371943,-0.03742955466802933,-0.06395074008825054,-0.058039595824361495,-0.06106374946905324,0.0539686942443911,-0.013741412058894155
mean__veg_height_sd,0.17777024625283472,0.03908374015688815,-0.0374023262851199,-0.15656976412053028,-0.04593452989592869,-0.04954004618932446,-0.03483029958316901,-0.07629650569831015,0.07458798445104137,0.009718166250746863
mean__veg_height_cv,-0.007874070555214586,0.1736497756090809,-0.060849764784614076,-0.28866031071886045,-0.10566971427365177,0.007323141398785458,-0.12315124213164921,-0.013432490953683263,-0.06103345629883708,0.031618957695298794
mean__veg_height_skew,-0.0817911508752295,0.14146224845117686,-0.20184386948885874,-0.12548002499254685,0.07908146428781813,-0.11057013234051812,0.05617510166517862,-0.14160533007291906,-0.055217195175756156,0.06067157100426812
mean__veg_height_kurt,0.06143584037096013,-0.01638645416367792,0.2914988884504741,0.2736846990118611,-0.23031852558161747,0.07777775948559311,0.09259989613044792,0.09306536197192306,-0.2534011497157935,0.16840774968671846
mean__veg_height_gini,-0.024943377659432133,0.1636610921160597,-0.10344537198158726,-0.3023995809433195,-0.07368555532724627,-0.01421525344370084,-0.1494301797595983,-0.01355350775636042,-0.01762359301997441,0.051310449406959696
mean__canopy_cover_gt1m,0.12730682981077412,-0.11535592478176102,-0.1696766157971488,0.05992212443016983,0.014959832192231688,0.09140908014109156,0.08382836749808187,0.22536565112699364,-0.14633944654905529,0.030373632755050284
mean__fhd,0.14532072116661626,-0.09174058264884366,-0.11457505046366677,-0.06130736407691971,-0.016657223121078476,-0.12388898792896072,-0.1517880273896594,0.30146994293341745,-0.11567253593730419,-0.037249827321652225
mean__vci,0.035319805797189845,-0.16897101291476102,-0.06142543218320064,-0.17349335544049546,0.02891907417925136,-0.12365510385274185,-0.018568025983069746,0.3718047051197924,-0.17067293934579844,-0.019496586136157554
mean__shann_capture,0.1462169165677804,-0.09999724579759901,-0.12565196299214207,0.0001760338630563597,-0.01516062401253597,-0.0877625462318997,-0.12958108152208817,0.27329320778044414,-0.1375788658322975,-0.016456919970553437
max__chm,0.167421215968008,0.0741374423807555,-0.09334432605220071,0.1062900404299016,-0.0061912530461212855,-0.07390432003999871,-0.015269365372991592,0.026305169973086698,0.031569494316221657,0.03588810495298098
sd__chm,0.14117971384463132,0.12571909905174933,-0.05832091013885548,0.07753039449234361,0.08450520111649704,-0.062068187208995006,0.16167370183868887,0.1296829757666976,-0.04629790099318827,0.1073399013983885
sd__veg_height_mean,0.1691363021275571,0.09524157070137437,-0.01362386635119719,0.01081588204135448,0.06564094103591678,-0.014141617421135714,0.12437150052078144,0.048776128922855266,0.01633802047073637,0.0677677267989198
sd__veg_height_median,0.16950936109554093,0.0940826140791236,-0.03411576114489763,-0.05912829574134322,0.03702012130211682,-0.01694805900011626,0.11400133400115721,-0.006996410475914565,0.032733535603623104,0.03661017881640673
sd__crr,0.04327855883906357,0.16905676447409373,0.13166196746113998,-0.09158029859626567,0.1455597584621325,0.18294637694335095,0.03195787360784823,-0.22433664630931194,0.009116665821056524,0.043155864741902444
sd__veg_height_q10,0.17693388563884938,0.0068389868985261094,0.1265687405691354,0.0240777508672274,-0.012363431233150278,0.07466274119139502,-0.017590887486210762,-0.043372248848451825,0.08398617952441033,0.023423870946532838
sd__veg_height_q20,0.17690966747017275,0.04734363322833494,0.09284446859812615,-0.050663590593005015,-0.0087031989005523,0.06778847456578481,0.018658876548887173,-0.043060184140155285,0.137797100311195,0.02893038140524996
sd__veg_height_q30,0.17616545870295017,0.07137022266855539,0.04314531549244785,-0.07492530732509943,0.005502016725241136,0.03598445389490155,0.06076832619441895,-0.03956486367289378,0.11894396764201835,0.020290515299098862
