metric,pca0,pca1
mean__chm,0.22698135203727607,0.23141213171317526
max__chm,0.14182472684848058,0.33795199912444857
sd__chm,0.04087630818854081,0.35464834164345627
cv__chm,-0.2758990651790049,0.1898356619087103
mean__crr,0.2604681197666142,-0.15838051308477236
mean__fhd,0.3191851613884781,0.08786290500177704
mean__veg_height_cv,-0.21673794188991025,0.22472674486397598
cv__veg_height_median,-0.26353453802240384,0.2442758886280515
mean__veg_height_kurt,0.06452430772532507,-0.05185113121592394
sd__crr,-0.17666956308681078,0.24311654567795435
sd__vci,-0.27927500673387723,-0.07628513539207754
mean__vci,0.2589987669068094,-0.19375890435343535
mean__groundstorey_capture,-0.12548052473283272,0.21235619995281968
mean__understorey_capture,0.07504032580948607,0.2286600175626402
mean__midstorey_capture,0.19304565427221326,0.22825159848301124
mean__upperstorey_capture,0.17488575655520436,-0.255671967270536
sd__groundstorey_capture,0.18681920928864715,0.18984307749153706
sd__understorey_capture,0.15031889273346594,0.24483642082077448
sd__midstorey_capture,0.11818539246168598,0.3087912020628136
sd__upperstorey_capture,0.0587392501577563,0.10016613720858729
mean__canopy_cover_gt1m,0.3421097026081158,0.07154391198260827
sd__canopy_cover_gt1m,-0.3206129301573191,-0.030887772228442415
