metric,pca0,pca1,pca2,pca3
mean__chm,0.22698135203727607,0.23141213171317526,0.2515334853266989,0.16182282982533377
max__chm,0.14182472684848058,0.33795199912444857,0.19210701691863838,-0.036529752014398245
sd__chm,0.04087630818854081,0.35464834164345627,0.24565209299847418,0.01888744415022751
cv__chm,-0.2758990651790049,0.1898356619087103,0.005175026926124537,-0.253721577397693
mean__crr,0.2604681197666142,-0.15838051308477236,0.2529141346438065,-0.2922700916152361
mean__fhd,0.3191851613884781,0.08786290500177704,-0.0011375736813880406,0.1622710439577298
mean__veg_height_cv,-0.21673794188991025,0.22472674486397598,-0.06855861493603925,0.3408368699403239
cv__veg_height_median,-0.26353453802240384,0.2442758886280515,-0.0008004934569080475,-0.06197076567857196
mean__veg_height_kurt,0.06452430772532507,-0.05185113121592394,0.46629729142587223,-0.4384657109878883
sd__crr,-0.17666956308681078,0.24311654567795435,0.31331085641252965,0.16020069728636074
sd__vci,-0.27927500673387723,-0.07628513539207754,0.24791435757092525,0.10358593993342567
mean__vci,0.2589987669068094,-0.19375890435343535,-0.14635083855755554,0.27961452504878254
mean__groundstorey_capture,-0.12548052473283272,0.21235619995281968,-0.3086100305264579,-0.0037597985937757113
mean__understorey_capture,0.07504032580948607,0.2286600175626402,-0.25609464461538983,-0.13754281440887153
mean__midstorey_capture,0.19304565427221326,0.22825159848301124,-0.1364447381006715,0.03693685729515188
mean__upperstorey_capture,0.17488575655520436,-0.255671967270536,0.2476441887307275,0.1623239486102979
sd__groundstorey_capture,0.18681920928864715,0.18984307749153706,-0.0618995120308047,-0.18339235813101276
sd__understorey_capture,0.15031889273346594,0.24483642082077448,-0.06830693579212145,-0.28372461178480723
sd__midstorey_capture,0.11818539246168598,0.3087912020628136,0.033356305256855116,0.0628248019184865
sd__upperstorey_capture,0.0587392501577563,0.10016613720858729,0.2980257882297637,0.44800712379910496
mean__canopy_cover_gt1m,0.3421097026081158,0.07154391198260827,-0.06727990091507044,-0.023173209301820787
sd__canopy_cover_gt1m,-0.3206129301573191,-0.030887772228442415,0.1690678038423345,-0.05639724926740085
