metric,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15
mean__chm,0.20102867802153887,0.36141716486449976,-0.07882155530790907,0.16161327491144362,-0.11949879598670508,-0.12816513403502425,-0.273684989651723,0.013381383701923174,-0.2741888198835922,0.08902143320289459,0.06872170554791862,0.19399339195196028,-0.3019575310777627,0.602542348224989,-0.2525986079326634,0.21758330443499566
max__chm,0.11919951718583532,0.40526802252849603,-0.1363106150475425,-0.06167557589880483,0.2525955058495493,-0.033390181838529376,-0.10544934415094369,-0.03869686884251518,0.07922337445508712,0.12527521841151631,-0.053812022194090744,-0.2134824146985075,0.5609147641328844,-0.18133045228536,-0.1907038174093599,0.5170238765025718
mean__veg_height_q30,0.2615980100391698,0.2744111068314772,0.2054898864667282,0.14348975547302484,-0.0032153538478202734,-0.13205913391786187,-0.45919462684035145,-0.012670916806908912,0.015504256805975702,0.20449155050583254,0.19809447886623474,0.32006491932387776,-0.09515203844754372,-0.5259961709848013,0.2366343075088293,-0.19879029723284725
mean__canopy_cover_gt1m,0.34919348577156045,0.0908850639140003,-0.09217342868164642,-0.05062875581794143,0.13505895592667824,-0.017383590758566003,0.5807079297017719,-0.30327864658319353,-0.28517101165411035,0.0724615859509638,0.5188230513518144,-0.08096326144402015,-0.16208714702155458,-0.14622049229961928,-0.03171985920341699,0.006118347497630518
mean__fhd,0.3279120520370434,0.1487276404835042,-0.13248095621234765,0.3271311757111868,0.0686890961987766,0.2264487954553804,0.04291789116012712,-0.03192013020599774,0.4754408424733384,-0.14902819844373852,0.04833331197102101,-0.02238447396356221,0.1827262709921347,0.15184829634334238,-0.3415567397951933,-0.5125732163834743
mean__veg_height_cv,-0.24332522232667522,0.16910503673217545,-0.3950736982289552,0.11845605030717138,-0.40083451750957233,0.26702316094934486,-0.19097098296897427,-0.22978479342460964,0.015128636709088622,-0.004462060745312291,0.0036086168284342524,-0.4195028776105972,-0.3538851553477179,-0.31478524886459275,-0.136809508523868,0.03943150433911837
mean__vci,0.2930246310837663,-0.197582974710812,-0.051527468600319544,0.4222496423507236,-0.05729511174858629,0.33991653781384606,0.22665547243652634,0.4418908461471177,0.0819021520275632,0.05751216348546054,-0.15120403030076845,0.17862229736066834,-0.1888910432074624,-0.193354169420467,0.03618772420984459,0.4353413371417989
mean__crr,0.26975407154001263,-0.020790326374049047,0.4688469683447065,-0.016111826079469302,0.0744732379535026,-0.3698663653379461,0.0416679123492301,-0.1518983706038128,0.26277542962245787,-0.10185847190394504,-0.32319605607606183,-0.37309089047175537,-0.389020157627425,-0.08773270023989915,-0.20435403913464095,0.12527509844136986
mean__veg_height_kurt,0.06069028020053818,0.16163677305782065,0.5717855539985357,-0.26335431307508667,-0.16811728793856495,0.5726820737944576,-0.07730388109197374,0.1981246476498862,-0.03497073375658365,0.07928589413715363,0.25262537995829704,-0.2806643696136235,0.043514475348025876,0.14106479088072518,0.022969384879735252,0.004114570364011894
sd__chm,0.003010997172666519,0.41836101341986826,-0.13318927627724234,-0.08222136788210141,0.28319675137521794,0.06211277659302905,0.20499623047243087,0.32358080411165135,-0.2731515294412087,0.24151305620868124,-0.47431663718455186,-0.17869770357485712,-0.16006026606624846,-0.025869766753313865,0.1541256850612844,-0.3602584559210896
cv__chm,-0.30763295286695586,0.13647171710767453,-0.07051376357964499,-0.2902262609779331,0.5361578751338999,0.16742506006986813,-0.05153762493856812,0.1188980306636461,0.3212596795763408,-0.15345372607893876,0.21329031890824435,0.25701819852302366,-0.4110251254700528,-0.06582195119568775,-0.19489182918033668,0.12522270819624298
sd__canopy_cover_gt1m,-0.34766099646915916,-0.021332641558036703,0.21553209009277566,0.2076263087983819,-0.002788492346642918,0.05442370561798267,0.2030586748141682,-0.27293439317602985,0.18207471051322607,0.7495408567797441,-0.06320569359946855,0.1641007161251519,0.002913105975078416,0.054290860109892064,-0.20387383510452156,-0.0033218834908416263
sd__vci,-0.3195817793463074,-0.03849761866904183,0.25921069958756315,0.39793347582522764,0.14461840463699577,-0.11326727086093413,-0.01569656274654673,0.24932598627290348,-0.441430238455652,-0.20912699625707415,0.1428562968406665,-0.08632718121456663,0.10215557891589348,-0.22135006671751917,-0.4858406942518304,-0.11297141364964866
sd__fhd,-0.22016754545256487,0.26476032696085144,0.19766232555619204,0.4818808616845043,0.2426841289994275,0.16189681833430664,0.06584816970171468,-0.358599962856568,0.0015341339745080433,-0.31506725911634675,-0.04637680335783884,-0.040535593806399414,-0.0035744590151448995,0.1576792050002963,0.4976355347476443,0.1285778863051297
sd__crr,-0.23298705565522407,0.30222496143391925,-0.015972429585517086,0.10974884379474831,-0.28413851901340026,-0.4301239387900233,0.25783382934312227,0.4412797377796761,0.3569726745038933,0.022093453143057825,0.3408529181197845,-0.1583280346814118,0.0009045254116608547,0.06947556301168759,0.20062124887159175,0.029784882647251324
sd__veg_height_skew,-0.07454768201729955,0.38501194604061556,0.16049136328515537,-0.2031326155852916,-0.4158932075360438,0.054126532052618595,0.33395483776541435,-0.12629883280179222,-0.021524621840320075,-0.3161293515167298,-0.2779789842755328,0.47154290722721076,0.07948411855838534,-0.17956914404141427,-0.1913509948482055,0.024696676142008475
