metric,cluster,selected,category
mean__chm,7,yes,H
max__chm,9,yes,H
mean__veg_height_q30,11,yes,H
mean__canopy_cover_gt1m,2,yes,C
mean__fhd,2,yes,VC
mean__veg_height_cv,5,yes,VC
mean__vci,6,yes,VC
mean__crr,10,yes,VC
mean__veg_height_kurt,12,yes,VC
sd__chm,9,yes,h H
cv__chm,6,yes,h H
sd__canopy_cover_gt1m,1,yes,h C
sd__vci,1,yes,h VC
sd__fhd,3,yes,h VC
sd__crr,4,yes,h VC
sd__veg_height_skew,8,yes,h VC
sd__canopy_cover_gt1m_w,1,,
sd__norm_shann_capture,1,,
sd__norm_shann_capture_w,1,,
sd__vci_w,1,,
mean__canopy_cover_gt1m_w,2,,
mean__fhd_w,2,,
mean__shann_capture_w,2,,
mean__shann_capture,2,,
sd__shann_capture,3,,
sd__fhd_w,3,,
sd__shann_capture_w,3,,
sd__veg_height_gini,4,,
sd__veg_height_cv,4,,
cv__veg_height_q30,5,,
mean__veg_height_gini,5,,
cv__veg_height_q10,5,,
cv__veg_height_q20,5,,
cv__veg_height_median,6,,
mean__norm_shann_capture,6,,
mean__norm_shann_capture_w,6,,
cv__veg_height_mean,6,,
cv__veg_height_q40,6,,
cv__veg_height_q50,6,,
cv__veg_height_q60,6,,
cv__veg_height_q70,6,,
cv__veg_height_q90,6,,
cv__veg_height_q80,6,,
mean__vci_w,6,,
cv__veg_height_sd,6,,
sd__veg_height_q20,7,,
mean__veg_height_mean,7,,
mean__veg_height_median,7,,
mean__veg_height_q50,7,,
mean__veg_height_q60,7,,
mean__veg_height_q70,7,,
mean__veg_height_q80,7,,
sd__veg_height_q10,7,,
mean__veg_height_q90,7,,
mean__veg_height_sd,7,,
sd__veg_height_kurt,8,,
sd__veg_height_q60,9,,
sd__veg_height_q70,9,,
sd__veg_height_mean,9,,
sd__veg_height_median,9,,
sd__veg_height_q30,9,,
sd__veg_height_q40,9,,
sd__veg_height_q50,9,,
sd__veg_height_sd,9,,
sd__veg_height_q80,9,,
sd__veg_height_q90,9,,
mean__veg_height_skew,10,,
mean__veg_height_q40,11,,
mean__veg_height_q20,11,,
mean__veg_height_q10,11,,
