,metric,site_type_a,site_type_b,p_val,p_val_group,cliffs_delta,effect_size,mean_a,mean_b,n_a,n_b,abs_cliffs_delta
0,mean__chm,EPO,NRY,0.0031101753683246943,very significant (p < 0.01),1.0,large,24.144863332041428,5.689085823824989,6,6,1.0
131,mean__veg_height_kurt,NRM,ULM,0.0023377091392714237,very significant (p < 0.01),-1.0,large,-0.40087080793153934,0.7078082412860659,6,6,1.0
137,mean__veg_height_kurt,NRO,ULY,0.013095665680249181,significant (p < 0.05),-1.0,large,-0.21831273279326802,0.8961388999304685,6,4,1.0
138,mean__veg_height_kurt,NRY,PPO,0.0012930718872830509,very significant (p < 0.01),-1.0,large,-0.26843534975129346,1.3600271776179762,6,6,1.0
140,mean__veg_height_kurt,NRY,ULM,0.007022949123452715,very significant (p < 0.01),-1.0,large,-0.26843534975129346,0.7078082412860659,6,6,1.0
142,mean__veg_height_kurt,NRY,ULY,0.004987658347362093,very significant (p < 0.01),-1.0,large,-0.26843534975129346,0.8961388999304685,6,4,1.0
143,sd__crr,EPO,NRM,0.008634755638467566,very significant (p < 0.01),1.0,large,0.1547496332755293,0.11429037199655599,6,6,1.0
146,sd__crr,NRM,ULM,0.0024764731291446805,very significant (p < 0.01),-1.0,large,0.11429037199655599,0.16111849315272175,6,6,1.0
147,sd__crr,NRM,ULO,0.01920843238962015,significant (p < 0.05),-1.0,large,0.11429037199655599,0.15119160557956965,6,5,1.0
148,sd__crr,NRM,ULY,0.0003464400618938455,highly significant (p < 0.001),-1.0,large,0.11429037199655599,0.18289154199700908,6,4,1.0
152,sd__crr,NRY,ULY,0.0022964625197185026,very significant (p < 0.01),-1.0,large,0.12351193378440738,0.18289154199700908,6,4,1.0
154,sd__crr,PPO,ULY,0.0031205110665712163,very significant (p < 0.01),-1.0,large,0.12287390528671217,0.18289154199700908,6,4,1.0
162,sd__vci,NRM,ULY,0.0010016569137199683,very significant (p < 0.01),-1.0,large,0.10074581359780721,0.158369025564702,6,4,1.0
166,sd__vci,NRO,ULY,0.0015475591185843114,very significant (p < 0.01),-1.0,large,0.10339048101519042,0.158369025564702,6,4,1.0
167,sd__vci,ULM,ULY,0.0407963876919757,significant (p < 0.05),-1.0,large,0.11744489902462786,0.158369025564702,6,4,1.0
168,sd__vci,ULO,ULY,0.0456830145980299,significant (p < 0.05),-1.0,large,0.11630342728967964,0.158369025564702,5,4,1.0
169,mean__vci,EPO,ULY,0.0031205110665712163,very significant (p < 0.01),1.0,large,0.5764387817141631,0.3790756256607092,6,4,1.0
170,mean__vci,EPY,ULY,0.01073655306107053,significant (p < 0.05),1.0,large,0.5636130074879034,0.3790756256607092,6,4,1.0
171,mean__vci,NRM,NRY,0.029705492855672356,significant (p < 0.05),1.0,large,0.6197873851502514,0.5343263872518452,6,6,1.0
172,mean__vci,NRM,ULM,0.007398318222725906,very significant (p < 0.01),1.0,large,0.6197873851502514,0.5172354146917916,6,6,1.0
173,mean__vci,NRM,ULO,0.011717061670024693,significant (p < 0.05),1.0,large,0.6197873851502514,0.5180214622874744,6,5,1.0
