,metric,site_type_a,site_type_b,p_val,p_val_group,cliffs_delta,effect_size,mean_a,mean_b,n_a,n_b,abs_cliffs_delta
0,mean__chm,NRO,NRY,0.0070670536008862195,very significant (p < 0.01),1.0,large,27.406963165224024,5.689085823824989,6,6,1.0
35,sd__chm,PPY,ULM,0.00010072898234786588,highly significant (p < 0.001),-1.0,large,1.921937781123091,15.568905117159625,6,6,1.0
25,mean__veg_height_cv,PPY,ULY,0.008058951666709637,very significant (p < 0.01),-1.0,large,0.396538966004949,0.8599285054560015,6,4,1.0
26,mean__vci,NRM,ULY,0.0050331236969837455,very significant (p < 0.01),1.0,large,0.6197873851502514,0.3790756256607092,6,4,1.0
27,mean__vci,PPO,ULY,0.003734067211557174,very significant (p < 0.01),1.0,large,0.6169544322314336,0.3790756256607092,6,4,1.0
28,mean__crr,PPO,ULY,0.003173486169419592,very significant (p < 0.01),1.0,large,0.6893912329066506,0.4474293812218475,6,4,1.0
29,mean__crr,ULO,ULY,0.02357065812164695,significant (p < 0.05),1.0,large,0.6467181123358617,0.4474293812218475,5,4,1.0
31,sd__chm,EPY,ULM,0.006745823891755027,very significant (p < 0.01),-1.0,large,3.0704762654044444,15.568905117159625,6,6,1.0
32,sd__chm,NRY,ULM,0.000292704358944867,highly significant (p < 0.001),-1.0,large,2.206086157811828,15.568905117159625,6,6,1.0
33,sd__chm,NRY,ULO,0.03683417701778545,significant (p < 0.05),-1.0,large,2.206086157811828,8.27887706866586,6,5,1.0
34,sd__chm,NRY,ULY,0.011869830673600154,significant (p < 0.05),-1.0,large,2.206086157811828,12.979511242920534,6,4,1.0
36,sd__chm,PPY,ULO,0.017123052019683914,significant (p < 0.05),-1.0,large,1.921937781123091,8.27887706866586,6,5,1.0
23,mean__veg_height_cv,EPY,ULY,0.0410679334625187,significant (p < 0.05),-1.0,large,0.46043033474108025,0.8599285054560015,6,4,1.0
37,sd__chm,PPY,ULY,0.005583672242147544,very significant (p < 0.01),-1.0,large,1.921937781123091,12.979511242920534,6,4,1.0
39,cv__chm,PPO,ULY,0.016543642053476873,significant (p < 0.05),-1.0,large,0.23868664922871433,0.8240803157619442,6,4,1.0
41,sd__canopy_cover_gt1m,NRM,ULY,0.009693584667849527,very significant (p < 0.01),-1.0,large,0.10657481659091217,0.2564529954015659,6,4,1.0
42,sd__canopy_cover_gt1m,NRO,NRY,0.028054674987069466,significant (p < 0.05),-1.0,large,0.0989147082196878,0.21473051456438497,6,6,1.0
43,sd__canopy_cover_gt1m,NRO,ULY,0.007746469499553855,very significant (p < 0.01),-1.0,large,0.0989147082196878,0.2564529954015659,6,4,1.0
44,sd__vci,NRM,ULY,0.04507456111739857,significant (p < 0.05),-1.0,large,0.10074581359780725,0.15836902556470203,6,4,1.0
45,sd__fhd,NRM,ULY,0.0048296351591006715,very significant (p < 0.01),-1.0,large,0.3470590006829941,0.602753962109724,6,4,1.0
46,sd__crr,NRM,ULY,0.015589802785223048,significant (p < 0.05),-1.0,large,0.11429037199655602,0.18289154199700908,6,4,1.0
47,sd__veg_height_skew,NRM,ULY,0.0182034854531221,significant (p < 0.05),-1.0,large,0.784031997361549,1.3480033925581218,6,4,1.0
1,mean__chm,NRO,PPY,0.012492063199416602,significant (p < 0.05),1.0,large,27.406963165224024,7.5369122602750664,6,6,1.0
24,mean__veg_height_cv,PPO,ULY,0.002605768297691204,very significant (p < 0.01),-1.0,large,0.3807838874444127,0.8599285054560015,6,4,1.0
22,mean__veg_height_cv,EPO,PPY,0.03528121983188271,significant (p < 0.05),1.0,large,0.6626583377019157,0.396538966004949,6,6,1.0
21,mean__veg_height_cv,EPO,PPO,0.011175263682794813,significant (p < 0.05),1.0,large,0.6626583377019157,0.3807838874444127,6,6,1.0
2,mean__chm,NRY,ULM,0.005081252385828122,very significant (p < 0.01),-1.0,large,5.689085823824989,30.393875948296767,6,6,1.0
