,site_id,site_type,Disturbance,Area,Grid,year_estab,Latitude,Longitude,Easting,Northing,elev_mean,slope_mean,Heat_load_index,Geo_Fert_Score,Geo_Fert_Class
0,AGG_O_01,AGG,8,Mid-South,B7,2011.0,-42.813558,146.546391,463112.3521,5259829.825,499.878173,8.674254647,0.832901692,5,Medium
1,AGG_O_05,AGG,8,Middle,B5,2011.0,-42.592817,146.455115,455305.3571,5284265.081,379.045078,0.638262311,0.937100834,7,Limestone
2,AGG_O_07,AGG,8,North,C3,2013.0,-42.460205,146.571147,464711.0,5299090.0,504.2823423,11.79821632,0.85404333,3,High
3,AGG_Y_02,AGG,8,South,E10,2019.0,-43.073428,146.901332,491962.3,5231052.7,374.4937981,10.15717964,0.831258218,5,Medium
4,AGG_Y_03,AGG,8,South,E12,2019.0,-43.271624,146.886887,490808.0745,5209008.105,280.2782097,12.21460594,0.855070062,3,High
5,AGG_Y_04,AGG,8,Mid-South,D9,2020.0,-42.971202,146.739063,478719.0,5242331.9,285.5961845,8.653495141,0.832,3,High
6,EPO_O_04,EPO,4,Middle,D6,1991.0,-42.701617,146.684415,473999.0,5272284.0,328.1758631,6.942890882,0.878868631,6,Medium
7,EPO_O_13,EPO,4,Mid-South,E8,2000.0,-42.83396126,146.8790832,490017.7748,5257572.222,417.0118977,13.35779275,0.773509012,3,High
8,EPO_Y_10,EPO,4,Middle,B7,2007.0,-42.809632,146.5379,462187.9217,5260205.815,537.9689735,3.639231508,0.894057665,5,Medium
9,EPO_Y_15,EPO,4,North,B3,2005.0,-42.4591549,146.4712869,456448.0835,5299225.768,544.0175451,8.981092052,0.941454083,3,High
10,EPO_Y_36,EPO,4,South,E12,2005.0,-43.262224,146.866903,489115.087,5209992.036,373.9389894,2.775445574,0.897180144,3,High
11,EPO_Y_37,EPO,4,South,F12,2002.0,-43.262896,146.917318,493264.4576,5209963.644,377.0918094,5.827362739,0.871150855,3,High
12,EPY_O_01,EPY,3,Middle,D6,2011.0,-42.70021,146.679273,473464.0293,5272306.786,409.6084246,7.213790656,0.885223692,6,Medium
13,EPY_O_07,EPY,3,North,B2,2011.0,-42.327734,146.456403,455166.7751,5313706.325,602.9787704,2.841855853,0.905225718,1,High
14,EPY_O_09,EPY,3,North,C4,2012.0,-42.531215,146.615814,468699.2305,5291065.356,387.7080181,7.718757714,0.853151615,3,High
15,EPY_Y_03,EPY,3,Mid-South,E7,2017.0,-42.7939316,146.8470168,487487.0,5262022.0,577.9202269,5.539975632,1.099996958,3,High
16,EPY_Y_04,EPY,3,Mid-South,E8,2020.0,-42.836632,146.881121,4900140.0,5257384.0,470.3689424,16.95591156,0.995,3,High
17,EPY_Y_05,EPY,3,South,F11,2020.0,-43.123303,146.930323,494304.5,5225411.7,334.7840411,8.611865997,0.842,3,High
18,NRM_31,NRM,6,North,B3,1994.0,-42.435729,146.485708,457696.042,5301569.646,470.8943404,7.143108841,0.862263453,3,High
19,NRM_O_15,NRM,6,South,E12,1991.0,-43.228135,146.873258,489481.6314,5213497.21,480.002444,8.955634231,0.899614487,6,Medium
20,NRM_O_19,NRM,6,North,A2,1990.0,-42.326483,146.427243,453041.0,5313626.0,599.8467864,5.835121694,0.886785326,1,High
21,NRM_Y_39,NRM,6,Middle,D6,1996.0,-42.7066037,146.763986,480633.3491,5271739.826,545.8163448,7.344161575,0.905784084,3,High
22,NRM_Y_41,NRM,6,Middle,C7,1999.0,-42.773069,146.591131,466552.7906,5264244.795,361.6259372,10.20814353,0.825747089,2,High
23,NRM_Y_69,NRM,6,South,F12,1998.0,-43.274261,146.979607,497947.6514,5208219.507,361.483742,14.44900357,0.94243793,3,High
24,NRO_138,NRO,7,North,B3,1970.0,-42.470232,146.505141,459364.0,5297899.0,454.6945061,6.947021303,0.965521504,3,High
25,NRO_174,NRO,7,Mid-South,D8,1976.0,-42.90747957,146.765374,480846.9489,5249431.214,470.8991234,12.24768833,0.905663985,3,High
26,NRO_190,NRO,7,South,D11,1966.0,-43.17527466,146.7823331,482308.4452,5219696.513,328.4433109,11.02503029,0.818230632,3,High
27,NRO_52,NRO,7,Middle,C6,1971.0,-42.729576,146.580661,465708.2714,5269094.269,406.7979917,7.956454025,0.846432326,4,Medium
28,NRO_O_56,NRO,7,Mid-South,D7,1962.0,-42.80161,146.690549,474700.0,5261127.0,352.4256306,11.98721611,0.948843637,5,Medium
29,NRO_Y_82,NRO,7,South,E12,1972.0,-43.263862,146.858836,488814.582,5209513.425,323.2676392,20.17654936,0.841839033,6,Medium
30,NRY_O_14,NRY,5,South,D10,2013.0,-43.10049,146.769811,481422.6918,5227799.473,380.0942997,8.68095675,0.897619671,4,Medium
31,NRY_O_20,NRY,5,North,C3,2013.0,-42.471636,146.550849,463051.0,5297772.0,568.0164767,9.319241912,0.828097347,3,High
32,NRY_O_25,NRY,5,Middle,C7,2011.0,-42.7487488,146.5713271,464887.5759,5266963.016,323.5793655,9.055455876,0.857590051,2,High
33,NRY_Y_03,NRY,5,Middle,C7,2017.0,-42.783654,146.584438,466073.7786,5263302.293,474.4008579,14.89137762,1.001488106,5,Medium
34,NRY_Y_12,NRY,5,Mid-South,E8,2016.0,-42.849879,146.842558,487622.328,5255766.17,545.526754,10.54878235,0.808732021,3,High
