site,site_type,year_estab,years_since_dist,elev_mean,slope_mean,forest_type,mean__chm,max__chm,sd__chm,cv__chm,mean__crr,mean__fhd,mean__veg_height_cv,cv__veg_height_median,mean__veg_height_kurt,sd__crr,sd__vci,mean__vci,mean__groundstorey_capture,mean__understorey_capture,mean__midstorey_capture,mean__upperstorey_capture,sd__groundstorey_capture,sd__understorey_capture,sd__midstorey_capture,sd__upperstorey_capture,mean__canopy_cover_gt1m,sd__canopy_cover_gt1m
AGG_O_01,AGG,2011.0,14.0,499.878173,8.674254647,AG,17.795597562089803,38.85,9.588872798787389,0.4491988211172269,0.5568608577731653,1.9054825004115004,0.6112103431073262,0.6309702759317413,0.0021431226417127245,0.1454320634946476,0.13460408986730177,0.5257632502471237,0.48546109261446596,0.34096334199014056,0.1520318202549908,0.3726505535078868,0.30434804018224965,0.21724726236980837,0.12056106498590849,0.23372786131297332,0.6728862386396136,0.20260424658820125
AGG_O_05,AGG,2011.0,14.0,379.045078,0.638262311,AG,17.953837149428754,32.018,6.74357553962489,0.3479056008762479,0.6299356153847046,1.809089728064161,0.544776084568823,0.5278025920748566,0.7004291012324998,0.16330952370159232,0.137338464662725,0.5269375466096421,0.4651483999737357,0.27424483478620854,0.2762958877726048,0.4047848837055118,0.37385746050353896,0.2586686612509642,0.10209843035776796,0.23031916022605897,0.7174044712684088,0.1654754658586685
AGG_O_07,AGG,2013.0,12.0,504.2823423,11.79821632,AG,13.855631944736677,40.6126,9.134958549074122,0.7048446059004162,0.5697773483123753,1.5618772600156001,0.5747640365198734,0.8973120440428632,0.20654524813291647,0.15623205205576887,0.13566811205791235,0.43161579775229775,0.32564128266894177,0.536894939605281,0.0,0.15011090191560458,0.2972779504466686,0.24384204582267438,0.0,0.1499713543910818,0.6381345123117643,0.23637343506585093
AGG_Y_02,AGG,2019.0,6.0,374.4937981,10.15717964,AG,9.439318293793542,30.384800000000002,4.969537601595759,0.690716961670746,0.56445362347663,1.394114157786606,0.45097182799537244,0.570737410423571,0.34700093254176584,0.1296581490073118,0.11968383304102836,0.3929769150109557,0.6368351691390615,0.42218086984319675,0.2859805990043781,0.060774186672842,0.2870046448383735,0.25747648978392224,0.08367436904941948,0.10668802755784819,0.6550732443198413,0.2345458520892983
AGG_Y_03,AGG,2019.0,6.0,280.2782097,12.21460594,AG,11.75318650067894,41.9452,7.956365534347496,0.9383657644370313,0.5251114502488827,1.6232474957992309,0.5801155060097325,1.0978615276253685,0.030834580632069425,0.13525121567570858,0.12587953910685007,0.42800655858886555,0.4847206547691984,0.49821574194835383,0.3095687997581723,0.02936074182082642,0.30485245599663385,0.27870999073712843,0.09005613126084432,0.10308336866213816,0.6261080020402242,0.20593672988234313
AGG_Y_04,AGG,2020.0,5.0,285.5961845,8.653495141,AG,7.349467971287163,25.4956,4.7778850972820965,0.7116015780667071,0.5017109911557325,1.3748922107579915,0.6290059126555466,0.8989794364016335,0.10108033218247336,0.1557326799939745,0.15218269419412706,0.41006403325070656,0.5515071033199929,0.4303474394556918,0.18671117733090412,0.03269659807555744,0.33596448269056933,0.25678202358888763,0.1179621518082095,0.09227705273708305,0.5178483415753247,0.2426128816269395
EPO_O_04,EPO,1991.0,34.0,328.1758631,6.942890882,EP,38.23988553261108,52.336400000000005,13.330357976312275,0.3487523857843699,0.5636948257824403,2.177094316535067,0.6207498666726076,0.7006031240304549,0.18754357435724428,0.16767597876353293,0.11487086549395005,0.5463568214451813,0.22233953730785588,0.20662422321588778,0.717144317802127,0.37959315867931226,0.311173087163895,0.2390669497755351,0.2250000142053688,0.25725007868503913,0.868068835075493,0.1254955864902009
EPO_O_13,EPO,2000.0,25.0,417.0118977,13.35779275,EP,27.2994840658334,38.0424,6.7692952917182065,0.24681934744446415,0.5907782786383566,1.9727762115685255,0.6611539866220857,0.5580200400590318,0.20759123148483152,0.17537538750056875,0.14155784791299647,0.5366313166199331,0.3443111737424439,0.26718728840013267,0.0,0.5613244947371159,0.28671932566219355,0.2481569519208847,0.0,0.2357084776618584,0.6854489547504755,0.20370928045239464
EPO_Y_10,EPO,2007.0,18.0,537.9689735,3.639231508,EP,25.902797594582218,32.952600000000004,5.477747940793364,0.21473612100199055,0.6118686274782213,2.0868265130454633,0.6402532522818614,0.41424627010532966,0.3997773232206216,0.15063237808245736,0.1523106418593714,0.5888719036139252,0.5577692374414873,0.11823704952552863,0.0,0.6067467598674159,0.28658711039530615,0.17272259180473923,0.0,0.1952107571734347,0.652078525244268,0.19360459079516898
EPO_Y_15,EPO,2005.0,20.0,544.0175451,8.981092052,EP,19.754897332960603,26.893,4.028354288882285,0.2049973975585341,0.5347717035245955,2.093690252470044,0.6938681184596491,0.5812196565707789,-0.6915280202414463,0.1420270602186479,0.10341326553382672,0.6243999678140544,0.5597139908405855,0.5891929203992419,0.0,0.4416486813626489,0.3363389487018833,0.2375076108686594,0.0,0.20203884140316783,0.7749356568297813,0.14409502220884263
